Название игры	Истинные значения	Предсказанные значения	Отношение
death's gambit (2018) pc | лицензия	86327	24989	3.4546000240105648
steamworld heist ii v.1.4 [папка игры] (2024)	70392	33675	2.0903340757238307
the lord of the rings: gollum [v 0.2.51064.11315968 + dlc] (2023) repack от decepticon	20362	26985	1.3252627443276692
ratchet & clank: rift apart [v 2.618.0.0] (2023) repack от decepticon	49159	38506	1.27665818314029
call to arms (2018)	23617	30042	1.2720497946394547
gerda: a flame in winter (2022)	11179	25292	2.2624563914482514
postal iii (2011)	9443	38922	4.121783331568357
the inquisitor (2024/03/14) [папка игры] (2024)	43512	34311	1.2681647285127218
prospekt (2016) pc | repack от xatab	44845	47478	1.0587133459694504
lost at sea [gog] (2021)	15428	23938	1.5515945035001297
trackmania sunrise + trackmania sunrise extreme v.1.5.1 [бука] (2005) pc | лицензия	15890	27853	1.752863436123348
ori and the blind forest: definitive edition (2016) pc | лицензия	88170	39423	2.236511680998402
bioshock infinite (2013) pc | лицензия	43550	31977	1.3619163773962535
land of war - the beginning [portable] (2021) pc | лицензия	41998	40468	1.0378076504892755
no more heroes (2021)	15579	27367	1.75665960587971
creaks [build 5311171]	24207	46297	1.9125459577808073
ride 4	37164	41626	1.1200624260036594
need for speed: shift pc (2009) repack от decepticon	14189	25466	1.7947705969412926
zombie army: trilogy (2015) pc | repack от xatab	75406	45047	1.6739405509800875
batman the enemy within the telltale series+batman shadows mode [gog] (eng/rus/multi8) от r.g. gogfan	26640	28508	1.07012012012012
elex ii [steam] (2022) | лицензия	28447	30340	1.06654480261539
ebola 2	65218	45067	1.447134266758382
greedfall ii: the dying world v.0.1.1 [папка игры] (early access)	61733	30227	2.042313163727793
call of juarez: bound in blood v.1.1.0.0 (32412) [gog] (2009)	20943	25718	1.2279998090053956
potion craft: alchemist simulator v1.0 [gog] (2022)	15459	25596	1.655734523578498
supreme commander gold edition v1.1.3280 / 1.5 [gog] (2008)	11337	24745	2.1826761929963836
neighbours back from hell [gog] (2020) pc | лицензия	21754	29983	1.37827525972235
aquanox deep descent - collector’s edition [gog] (2020) pc | лицензия	95046	29728	3.1971878363832076
thief simulator (v1.4) (2018)  repack от xatab	96988	53694	1.8063098297761389
returnal (2023)	89831	32969	2.724711092238163
plague inc: evolved [v 1.19.1.0 + dlc] (2016) repack от decepticon	15202	32753	2.1545191422181293
brigador up-armored deluxe edition [gog] (2017) pc | лицензия	32831	25037	1.3112992770699365
marvel's guardians of the galaxy - deluxe edition (2021)	80759	34699	2.3274157756707687
heroes of might and magic 3 complete [gog | windows] (eng/rus/multi4) от r.g. gogfan	55624	32272	1.7235994050570154
borderlands game of the year enhanced	91315	48198	1.8945806879953524
alan wake remastered [папка игры] (2010-2012-2021)	80530	31497	2.5567514366447597
saint kotar [папка игры] (2021)	33843	22293	1.5180998519714708
alaskan road truckers (2023)	22395	23831	1.064121455682072
shadows: awakening (1.3.1) (2018) repack от xatab	64676	52228	1.238339587960481
undertale (2015) pc | лицензия	71246	32591	2.186063637200454
raji: an ancient epic v. 1.4.0 [gog] (2020)	39666	24753	1.6024724275845352
atelier ryza: ever darkness & the secret hideout	97349	48887	1.9913064822959068
sniper elite v2 [v 1.13 + dlcs] (2012) pc | repack от xatab	90183	66093	1.3644864055194952
lego star wars: the skywalker saga [v 1.0.0.27327 + dlcs] (2022) pc | repack от decepticon	28583	34938	1.222334954343491
the casting of frank stone (26/09/2024) [папка игры] (2024)	99641	35597	2.7991403769980616
the valiant (2022)	49856	25133	1.9836867862969005
automobilista 2	35696	40981	1.148055804571941
tropico 5 [v 1.10 + 14 dlc] (2014) pc | repack от xatab	72355	69011	1.0484560432394836
sherlock holmes the awakened [gog] (2023)	17786	20854	1.172495220960306
professional farmer: cattle and crops [gog] (2017) pc | лицензия	22494	23794	1.057793189294923
re-legion (2019) pc | лицензия	71502	26626	2.6854202659055058
octopath traveler [cpy] (2019) pc | лицензия	60713	32476	1.8694728414829413
farming simulator 15: gold edition [v 1.4.2 + dlc's] (2014) pc | repack от xatab	71715	52876	1.356286405930857
neva v.1.01 [папка игры] (2024)	31595	29204	1.081872346253938
assassin's creed director's cut [gog] (2008)	36369	26536	1.3705532107325897
tank mechanic simulator (2020) pc | лицензия	31270	29334	1.0659985000340901
kong: survivor instinct [папка игры] (2024)	26803	28798	1.0744319665709063
the last oricru (2022)	50822	27637	1.8389116040091182
sekiro. shadows die twice - goty [portable] (2019) pc | лицензия	52441	42075	1.246369578134284
battletoads	70109	45847	1.5291949309660393
distraint: deluxe edition (2015) [portable]	22439	29328	1.3070101163153438
the outer worlds: spacer's choice edition (steam) (2019-2023) pc | лицензия	46062	25077	1.836822586433784
plants vs. zombies [portable] (2009) pc | лицензия	47228	37491	1.2597156650929557
rad (2019) pc | repack от xatab	31727	43807	1.3807482585810193
skully	32428	41860	1.2908597508326138
ww2 rebuilder (2023)	36390	23306	1.5614004977259075
rocket league (2015) pc | repack от xatab	29984	46320	1.5448239060832445
space haven v.0.19.0 build 16 [папка игры] (early access)	23719	33110	1.395927315654117
chasm: the rift (2022)	25102	25831	1.0290415106366027
arkham horror: mother's embrace v1026 5824 [gog] (2021)	14315	22231	1.5529863779252533
wild west dynasty	43280	26018	1.6634637558613268
metal gear solid 2 substance v.1.0cu (45301) [gog] (2003)	32270	22668	1.4235927298394213
panzer corps 2	65975	46390	1.4221815046346196
the shore v1.0 [gog] (2021)	11827	23168	1.958907584340915
warhammer 40 000: dawn of war ii: retribution - complete edition (2011) pc | repack от xatab	95512	54453	1.7540264080950545
dustborn v.1.2 [папка игры] (2024)	85570	30531	2.802725099079624
fatal frame / project zero: maiden of black water (2014-2021) pc | лицензия	26999	30082	1.1141894144227564
icewind dale 2 complete v2.1.0.13 [gog] (2002)	28134	25450	1.1054616895874263
fears to fathom - woodbury getaway v.1.3 [папка игры] (2024)	48480	34562	1.402696603205833
amid evil warrior edition (2019) pc | лицензия	66705	22909	2.9117377449910515
for the king (2017) pc | repack от xatab	38455	46166	1.2005200884150307
heavy rain	44262	51969	1.1741222719262572
chef life: a restaurant simulator v.1.4.0.0 [папка игры] (2023)	26544	25080	1.0583732057416269
watch dogs: legion [v 1.5.6] (2020) pc | repack от decepticon	83542	37909	2.2037510881321056
you are empty [1c] (2006) pc | лицензия	48980	33841	1.4473567565970273
soldier of fortune: payback v1.1 [gog] (2007)	16963	25418	1.498437776336733
simcity 4 deluxe edition v.1.1.641 hotfix (25621) [gog] (2003)	33943	21693	1.5646982897708939
mafia: definitive edition (2020) pc | лицензия	27042	36598	1.353376229568819
paranoid (2023)	12036	26141	2.171900963775341
one punch man a hero nobody knows	26839	42574	1.5862737061738514
dragon quest® xi s: echoes of an elusive age™ - definitive edition [папка игры] (2020) pc | лицензия	49672	27821	1.7854138959778585
blood and zombies (2022)	25491	26164	1.026401475030403
daymare: 1998 (2019)  repack от	70901	49891	1.4211180373213605
visage [gog] (2020) pc | лицензия	87995	25576	3.4405301845480136
neighbours back from hell v1.2 [gog] (2020)	11050	28099	2.54289592760181
prodeus (2022)	36388	27031	1.3461581147571307
praetorians - hd remaster (2003-2020) pc | лицензия	62835	25121	2.5012937383065963
far cry 2 [gog] (2008) pc | лицензия	98855	27106	3.6469785287390244
victory at sea pacific (2018)	32140	23330	1.3776253750535792
metal: hellsinger (2022)	61415	25631	2.3961218836565097
the hong kong massacre (2019) repack от xatab	66289	51085	1.2976216110404228
deep rock galactic	30760	45862	1.490962288686606
peglin v.0.9.59 [gog] (early access)	46591	21543	2.162697860093766
wanted: dead (2023)	31453	25819	1.2182113947093225
warhammer 40 000: mechanicus - omnissiah edition [v 1.3.7] (2018) pc | repack от xatab	98588	48305	2.040948142014284
superpower 3 v1.0b [gog] (2022)	13623	24287	1.78279380459517
pro fishing simulator  (2018)  repack от xatab	37513	47043	1.254045264308373
mark of the ninja: remastered [gog] (2012-2018) pc | лицензия	43168	38954	1.108178877650562
transport fever  (build 18381) (rus|eng) repack от xatab	48128	48871	1.0154379986702127
industria (2021)	52488	30926	1.6972127012869431
scrap mechanic (early access) pc | лицензия	91615	31516	2.9069361594110927
soldier of fortune platinum edition v1.07f hotfix [gog] (2001)	9916	25239	2.5452803549818475
punk wars v.1.1.0 (52328) [gog] (2021)	24223	23117	1.0478435783189861
смерть шпионам: момент истины (death to spies: moment of truth) (2009) pc | лицензия	56836	45825	1.2402836879432624
night call v.1.0.7 [plaza] (2019) pc | лицензия	39992	27400	1.4595620437956205
operencia: the stolen sun - explorer's edition	49005	46406	1.0560056889195362
injustice 2 - legendary edition [папка игры] (2017)	42105	38792	1.0854042070530006
shadowgrounds v.1.05 (22186) [gog] (2005)	15107	25624	1.6961673396438737
lumencraft v9027 [gog] (2023)	27389	20642	1.326857862610212
tchia (2023)	14898	24268	1.6289434823466238
resident evil 4 hd project (2005-2022) pc | лицензия	64802	34021	1.9047647041533171
rfactor 2 (2013) pc | лицензия	20130	29723	1.4765524093392945
inked (2018) pc | лицензия	17864	25987	1.4547133900582176
space rangers [+ space rangers: quest] pc (2002) repack от decepticon	16085	21281	1.323033882499223
five nights at freddy's: security breach (2021) pc | лицензия	46964	35583	1.319843745608858
the matrix: path of neo v.1.2 [l] (2005) (2019) pc | лицензия	45546	34972	1.3023561706508064
scarf [gog] (2021)	11188	23137	2.068019306399714
remoteness [portable] (2022) pc | лицензия	17978	28160	1.5663588830793191
lightyear frontier v.0.2.687 [папка игры] (early access)	41090	28548	1.4393302508056607
