Название игры	Истинные значения	Предсказанные значения	Отношение
raji: an ancient epic v. 1.4.0 [gog] (2020)	39666	22817	1.7384406363676206
atelier ryza: ever darkness & the secret hideout	97349	47364	2.055337387045013
sniper elite v2 [v 1.13 + dlcs] (2012) pc | repack от xatab	90183	66093	1.3644864055194952
wildcat gun machine supporter bundle [gog] (2022)	6707	22193	3.3089309676457432
daydream: forgotten sorrow (2023)	7255	25099	3.4595451412818745
lego star wars: the skywalker saga [v 1.0.0.27327 + dlcs] (2022) pc | repack от decepticon	28583	28117	1.0165736031582318
the casting of frank stone (26/09/2024) [папка игры] (2024)	99641	36287	2.7459145148400252
the valiant (2022)	49856	22612	2.204846983902353
automobilista 2	35696	40981	1.148055804571941
tropico 5 [v 1.10 + 14 dlc] (2014) pc | repack от xatab	72355	69011	1.0484560432394836
sherlock holmes the awakened [gog] (2023)	17786	19281	1.084054874620488
professional farmer: cattle and crops [gog] (2017) pc | лицензия	22494	24925	1.108073263981506
re-legion (2019) pc | лицензия	71502	25906	2.7600555855786304
octopath traveler [cpy] (2019) pc | лицензия	60713	30208	2.0098318326271185
farming simulator 15: gold edition [v 1.4.2 + dlc's] (2014) pc | repack от xatab	71715	52876	1.356286405930857
neva v.1.01 [папка игры] (2024)	31595	27852	1.1343889128249318
assassin's creed director's cut [gog] (2008)	36369	24683	1.473443260543694
tank mechanic simulator (2020) pc | лицензия	31270	28868	1.0832063184148537
kong: survivor instinct [папка игры] (2024)	26803	28189	1.0517106294071559
the last oricru (2022)	50822	24383	2.084321043349875
sekiro. shadows die twice - goty [portable] (2019) pc | лицензия	52441	42075	1.246369578134284
portal stories: mel [portable] (2015) pc | лицензия	7566	25779	3.4072164948453607
battletoads	70109	45847	1.5291949309660393
distraint: deluxe edition (2015) [portable]	22439	27840	1.2406970007576095
the outer worlds: spacer's choice edition (steam) (2019-2023) pc | лицензия	46062	25251	1.8241653795889272
plants vs. zombies [portable] (2009) pc | лицензия	47228	34320	1.376107226107226
rad (2019) pc | repack от xatab	31727	42736	1.3469915214170896
skully	32428	41072	1.2665597631676329
ww2 rebuilder (2023)	36390	24989	1.4562407459282085
rocket league (2015) pc | repack от xatab	29984	46320	1.5448239060832445
space haven v.0.19.0 build 16 [папка игры] (early access)	23719	31921	1.3457987267591383
chasm: the rift (2022)	25102	23921	1.0493708457004305
arkham horror: mother's embrace v1026 5824 [gog] (2021)	14315	19775	1.3814180929095354
wild west dynasty	43280	23857	1.8141425996562854
metal gear solid 2 substance v.1.0cu (45301) [gog] (2003)	32270	19651	1.6421556154903059
panzer corps 2	65975	46390	1.4221815046346196
the shore v1.0 [gog] (2021)	11827	21189	1.7915785913587554
warhammer 40 000: dawn of war ii: retribution - complete edition (2011) pc | repack от xatab	95512	54453	1.7540264080950545
oxenfree ii: lost signals (2023)	8059	23496	2.9154982007693264
dustborn v.1.2 [папка игры] (2024)	85570	28202	3.034181972909723
fatal frame / project zero: maiden of black water (2014-2021) pc | лицензия	26999	29316	1.0858179932590095
icewind dale 2 complete v2.1.0.13 [gog] (2002)	28134	23766	1.183791971724312
fears to fathom - woodbury getaway v.1.3 [папка игры] (2024)	48480	34652	1.3990534456885606
amid evil warrior edition (2019) pc | лицензия	66705	19403	3.43787043240736
for the king (2017) pc | repack от xatab	38455	46166	1.2005200884150307
heavy rain	44262	51969	1.1741222719262572
chef life: a restaurant simulator v.1.4.0.0 [папка игры] (2023)	26544	25271	1.0503739464207986
watch dogs: legion [v 1.5.6] (2020) pc | repack от decepticon	83542	37909	2.2037510881321056
you are empty [1c] (2006) pc | лицензия	48980	35319	1.3867889804354596
soldier of fortune: payback v1.1 [gog] (2007)	16963	22779	1.3428638802098685
simcity 4 deluxe edition v.1.1.641 hotfix (25621) [gog] (2003)	33943	18686	1.816493631595847
mafia: definitive edition (2020) pc | лицензия	27042	36751	1.3590340951113082
paranoid (2023)	12036	26215	2.1780491857760054
one punch man a hero nobody knows	26839	42574	1.5862737061738514
dragon quest® xi s: echoes of an elusive age™ - definitive edition [папка игры] (2020) pc | лицензия	49672	26830	1.8513604174431606
blood and zombies (2022)	25491	24531	1.0391341567812156
daymare: 1998 (2019)  repack от	70901	49891	1.4211180373213605
visage [gog] (2020) pc | лицензия	87995	25418	3.4619167519080967
neighbours back from hell v1.2 [gog] (2020)	11050	26693	2.415656108597285
prodeus (2022)	36388	26911	1.3521608264278548
praetorians - hd remaster (2003-2020) pc | лицензия	62835	23744	2.6463527628032346
far cry 2 [gog] (2008) pc | лицензия	98855	24515	4.032429125025494
victory at sea pacific (2018)	32140	20884	1.5389772074315264
monkey island 2 special edition: lechuck’s revenge v2.0.0.10 [gog] (2010)	7369	18079	2.453385805401004
metal: hellsinger (2022)	61415	24092	2.549186451934252
the hong kong massacre (2019) repack от xatab	66289	47992	1.3812510418403068
afterparty v1.4.26f2 (53350) [gog] (2020)	6019	22466	3.73251370659578
deep rock galactic	30760	46098	1.4986345903771132
peglin v.0.9.59 [gog] (early access)	46591	18824	2.475084997875053
wanted: dead (2023)	31453	23130	1.359835711197579
warhammer 40 000: mechanicus - omnissiah edition [v 1.3.7] (2018) pc | repack от xatab	98588	48305	2.040948142014284
superpower 3 v1.0b [gog] (2022)	13623	20730	1.5216912574322836
pro fishing simulator  (2018)  repack от xatab	37513	47043	1.254045264308373
mark of the ninja: remastered [gog] (2012-2018) pc | лицензия	43168	38954	1.108178877650562
transport fever  (build 18381) (rus|eng) repack от xatab	48128	48426	1.0061918218085106
tropico 4 complete collection v.1.6.345 (19959) [gog] (2011)	8095	21796	2.6925262507720817
industria (2021)	52488	29476	1.7807029447686253
scrap mechanic (early access) pc | лицензия	91615	29705	3.0841609156707626
soldier of fortune platinum edition v1.07f hotfix [gog] (2001)	9916	22677	2.286910044372731
punk wars v.1.1.0 (52328) [gog] (2021)	24223	21196	1.1428099641441782
смерть шпионам: момент истины (death to spies: moment of truth) (2009) pc | лицензия	56836	45825	1.2402836879432624
night call v.1.0.7 [plaza] (2019) pc | лицензия	39992	25516	1.5673303025552594
operencia: the stolen sun - explorer's edition	49005	46406	1.0560056889195362
injustice 2 - legendary edition [папка игры] (2017)	42105	38792	1.0854042070530006
shadowgrounds v.1.05 (22186) [gog] (2005)	15107	23502	1.5557026543986232
lumencraft v9027 [gog] (2023)	27389	18868	1.4516111935552258
tchia (2023)	14898	23739	1.5934353604510672
resident evil 4 hd project (2005-2022) pc | лицензия	64802	34021	1.9047647041533171
rfactor 2 (2013) pc | лицензия	20130	29723	1.4765524093392945
inked (2018) pc | лицензия	17864	24169	1.3529444693237798
space rangers [+ space rangers: quest] pc (2002) repack от decepticon	16085	21281	1.323033882499223
five nights at freddy's: security breach (2021) pc | лицензия	46964	33321	1.4094414933525405
