Название игры	Истинные значения	Предсказанные значения	Отношение
the inquisitor (2024/03/14) [папка игры] (2024)	43512	31450	1.383529411764706
prospekt (2016) pc | repack от xatab	44845	42723	1.0496687966669007
lost at sea [gog] (2021)	15428	19024	1.2330827067669172
trackmania sunrise + trackmania sunrise extreme v.1.5.1 [бука] (2005) pc | лицензия	15890	27793	1.7490874764002518
ori and the blind forest: definitive edition (2016) pc | лицензия	88170	33640	2.620986920332937
bioshock infinite (2013) pc | лицензия	43550	30374	1.433792058997827
land of war - the beginning [portable] (2021) pc | лицензия	41998	39089	1.074419913530661
no more heroes (2021)	15579	33103	2.1248475511907055
creaks [build 5311171]	24207	37051	1.5305903251125708
ride 4	37164	47661	1.2824507587988376
need for speed: shift pc (2009) repack от decepticon	14189	27217	1.918176051871168
zombie army: trilogy (2015) pc | repack от xatab	75406	47812	1.577135447168075
batman the enemy within the telltale series+batman shadows mode [gog] (eng/rus/multi8) от r.g. gogfan	26640	29539	1.1088213213213214
elex ii [steam] (2022) | лицензия	28447	37894	1.3320912574260906
ebola 2	65218	44774	1.4566042792692186
greedfall ii: the dying world v.0.1.1 [папка игры] (early access)	61733	23537	2.6228066448570337
call of juarez: bound in blood v.1.1.0.0 (32412) [gog] (2009)	20943	15506	1.3506384625306334
potion craft: alchemist simulator v1.0 [gog] (2022)	15459	34657	2.2418655799210816
supreme commander gold edition v1.1.3280 / 1.5 [gog] (2008)	11337	19763	1.7432301314280674
neighbours back from hell [gog] (2020) pc | лицензия	21754	37605	1.7286476050381538
aquanox deep descent - collector’s edition [gog] (2020) pc | лицензия	95046	38694	2.4563498216777795
thief simulator (v1.4) (2018)  repack от xatab	96988	49445	1.961533016482961
returnal (2023)	89831	33170	2.708200180886343
plague inc: evolved [v 1.19.1.0 + dlc] (2016) repack от decepticon	15202	33926	2.2316800420997236
brigador up-armored deluxe edition [gog] (2017) pc | лицензия	32831	20023	1.6396643859561504
marvel's guardians of the galaxy - deluxe edition (2021)	80759	38450	2.10036410923277
heroes of might and magic 3 complete [gog | windows] (eng/rus/multi4) от r.g. gogfan	55624	22832	2.436229852838122
borderlands game of the year enhanced	91315	69880	1.306740125930166
alan wake remastered [папка игры] (2010-2012-2021)	80530	41913	1.9213609142748074
saint kotar [папка игры] (2021)	33843	20048	1.6880985634477255
alaskan road truckers (2023)	22395	19988	1.1204222533520112
shadows: awakening (1.3.1) (2018) repack от xatab	64676	48436	1.3352878024609793
undertale (2015) pc | лицензия	71246	28492	2.500561561139969
raji: an ancient epic v. 1.4.0 [gog] (2020)	39666	29036	1.3660972585755613
atelier ryza: ever darkness & the secret hideout	97349	51704	1.882813708803961
sniper elite v2 [v 1.13 + dlcs] (2012) pc | repack от xatab	90183	77563	1.1627064450833515
lego star wars: the skywalker saga [v 1.0.0.27327 + dlcs] (2022) pc | repack от decepticon	28583	30096	1.0529335619074276
the casting of frank stone (26/09/2024) [папка игры] (2024)	99641	44354	2.2464941155250937
the valiant (2022)	49856	24003	2.0770736991209433
automobilista 2	35696	38659	1.0830064993276558
tropico 5 [v 1.10 + 14 dlc] (2014) pc | repack от xatab	72355	60330	1.1993204044422343
sherlock holmes the awakened [gog] (2023)	17786	22999	1.2930956932418756
professional farmer: cattle and crops [gog] (2017) pc | лицензия	22494	24746	1.1001155863785899
re-legion (2019) pc | лицензия	71502	24067	2.970956080940707
octopath traveler [cpy] (2019) pc | лицензия	60713	31751	1.9121602469213568
farming simulator 15: gold edition [v 1.4.2 + dlc's] (2014) pc | repack от xatab	71715	48018	1.4935024365862801
neva v.1.01 [папка игры] (2024)	31595	34378	1.0880835575249248
assassin's creed director's cut [gog] (2008)	36369	19518	1.8633569013218567
tank mechanic simulator (2020) pc | лицензия	31270	30093	1.0391120858671452
kong: survivor instinct [папка игры] (2024)	26803	32705	1.2201992314293175
the last oricru (2022)	50822	25418	1.9994492092218112
sekiro. shadows die twice - goty [portable] (2019) pc | лицензия	52441	40976	1.2797979304959
battletoads	70109	48018	1.4600566454246324
distraint: deluxe edition (2015) [portable]	22439	27544	1.2275056820713937
the outer worlds: spacer's choice edition (steam) (2019-2023) pc | лицензия	46062	23612	1.9507877350499745
plants vs. zombies [portable] (2009) pc | лицензия	47228	39166	1.2058418015625798
rad (2019) pc | repack от xatab	31727	45371	1.4300438112648532
skully	32428	35492	1.094486246453682
ww2 rebuilder (2023)	36390	26496	1.3734148550724639
rocket league (2015) pc | repack от xatab	29984	40452	1.349119530416222
space haven v.0.19.0 build 16 [папка игры] (early access)	23719	33546	1.414309203592057
chasm: the rift (2022)	25102	26181	1.0429846227392239
arkham horror: mother's embrace v1026 5824 [gog] (2021)	14315	21269	1.4857841425078588
wild west dynasty	43280	20091	2.15419839729232
metal gear solid 2 substance v.1.0cu (45301) [gog] (2003)	32270	18565	1.738217075141395
panzer corps 2	65975	36388	1.8130977245245685
the shore v1.0 [gog] (2021)	11827	18896	1.5977001775598207
warhammer 40 000: dawn of war ii: retribution - complete edition (2011) pc | repack от xatab	95512	56168	1.700470018515881
dustborn v.1.2 [папка игры] (2024)	85570	32043	2.670474050494648
fatal frame / project zero: maiden of black water (2014-2021) pc | лицензия	26999	39899	1.477795473906441
icewind dale 2 complete v2.1.0.13 [gog] (2002)	28134	22533	1.2485687658101452
fears to fathom - woodbury getaway v.1.3 [папка игры] (2024)	48480	39606	1.224056961066505
amid evil warrior edition (2019) pc | лицензия	66705	21616	3.0859085862324203
for the king (2017) pc | repack от xatab	38455	53236	1.3843713431283318
heavy rain	44262	52847	1.1939587004654104
chef life: a restaurant simulator v.1.4.0.0 [папка игры] (2023)	26544	27425	1.0331901748040988
watch dogs: legion [v 1.5.6] (2020) pc | repack от decepticon	83542	32529	2.5682314242675766
you are empty [1c] (2006) pc | лицензия	48980	43848	1.1170406860062032
soldier of fortune: payback v1.1 [gog] (2007)	16963	16762	1.0119914091397209
simcity 4 deluxe edition v.1.1.641 hotfix (25621) [gog] (2003)	33943	20856	1.6274932873034138
mafia: definitive edition (2020) pc | лицензия	27042	40144	1.4845055839065158
paranoid (2023)	12036	19722	1.6385842472582253
one punch man a hero nobody knows	26839	37143	1.3839189239539476
dragon quest® xi s: echoes of an elusive age™ - definitive edition [папка игры] (2020) pc | лицензия	49672	26555	1.8705328563359067
blood and zombies (2022)	25491	23374	1.0905707196029777
daymare: 1998 (2019)  repack от	70901	49519	1.4317938569034108
visage [gog] (2020) pc | лицензия	87995	38249	2.300583021778347
neighbours back from hell v1.2 [gog] (2020)	11050	32183	2.9124886877828056
prodeus (2022)	36388	23864	1.5248072410325175
praetorians - hd remaster (2003-2020) pc | лицензия	62835	31631	1.9865005848692738
far cry 2 [gog] (2008) pc | лицензия	98855	33273	2.971027559883389
victory at sea pacific (2018)	32140	22074	1.4560115973543535
metal: hellsinger (2022)	61415	36354	1.6893601804478187
the hong kong massacre (2019) repack от xatab	66289	55916	1.1855104084698476
deep rock galactic	30760	50365	1.6373537061118335
peglin v.0.9.59 [gog] (early access)	46591	20324	2.292412910844322
wanted: dead (2023)	31453	29339	1.0720542622447937
warhammer 40 000: mechanicus - omnissiah edition [v 1.3.7] (2018) pc | repack от xatab	98588	61448	1.604413487827106
superpower 3 v1.0b [gog] (2022)	13623	22299	1.6368641268443074
pro fishing simulator  (2018)  repack от xatab	37513	47027	1.2536187455015595
mark of the ninja: remastered [gog] (2012-2018) pc | лицензия	43168	33863	1.2747836872102294
transport fever  (build 18381) (rus|eng) repack от xatab	48128	57410	1.192860704787234
industria (2021)	52488	35443	1.480913015263945
scrap mechanic (early access) pc | лицензия	91615	37704	2.429848291958413
soldier of fortune platinum edition v1.07f hotfix [gog] (2001)	9916	15156	1.5284388866478418
punk wars v.1.1.0 (52328) [gog] (2021)	24223	26780	1.1055608306155307
смерть шпионам: момент истины (death to spies: moment of truth) (2009) pc | лицензия	56836	44398	1.2801477544033515
night call v.1.0.7 [plaza] (2019) pc | лицензия	39992	26449	1.5120420431774357
operencia: the stolen sun - explorer's edition	49005	45448	1.0782652701989086
injustice 2 - legendary edition [папка игры] (2017)	42105	28400	1.4825704225352112
shadowgrounds v.1.05 (22186) [gog] (2005)	15107	21398	1.4164294697822202
lumencraft v9027 [gog] (2023)	27389	21229	1.2901691082952564
tchia (2023)	14898	27135	1.8213854208618607
resident evil 4 hd project (2005-2022) pc | лицензия	64802	32545	1.9911507143954525
rfactor 2 (2013) pc | лицензия	20130	31930	1.5861897665176354
inked (2018) pc | лицензия	17864	30736	1.7205553067622033
space rangers [+ space rangers: quest] pc (2002) repack от decepticon	16085	30922	1.9224121852657756
five nights at freddy's: security breach (2021) pc | лицензия	46964	43529	1.0789129086356222
the matrix: path of neo v.1.2 [l] (2005) (2019) pc | лицензия	45546	44673	1.0195420052380633
scarf [gog] (2021)	11188	18896	1.6889524490525563
remoteness [portable] (2022) pc | лицензия	17978	30775	1.7118144398709534
lightyear frontier v.0.2.687 [папка игры] (early access)	41090	33185	1.2382100346542113
brothers: a tale of two sons v.gog-2 (6538) [gog] (2013)	15746	20061	1.274037850882764
breathedge	55938	43937	1.273141088376539
game dev studio (2018) pc | лицензия	42489	29117	1.4592506096095064
sherlock holmes chapter one deluxe edition [gog] (2021)	49613	18799	2.6391297409436674
vampire's fall: origins v.1.5.45 [codex] (2019)	85841	36766	2.334793015285862
need for speed: hot pursuit 2 pc (2002) repack от decepticon	19856	31235	1.5730761482675262
zombie night terror v.1.3.13 (2016) pc | лицензия	42396	34304	1.2358908582089552
kao the kangaroo (2022)	17071	18234	1.068127233319665
souldiers (2022)	19992	17862	1.1192475646624118
myst [gog] (2021)	36651	25018	1.4649852106483332
underworld ascendant (2018) pc | repack от xatab	83444	59161	1.410456212707696
tales of arise [папка игры] (2021)	72038	36518	1.972671011555945
edge of sanity v.1.1.1 [папка игры] (2024)	25116	36556	1.455486542443064
serious sam 3: bfe (2011) pc | repack от xatab	76382	69518	1.0987370177507985
the forgotten city (2021)	39916	33723	1.1836432108649884
blades of time: limited edition [gog] (2012) pc | лицензия	64763	31965	2.026059752854685
decay: the mare (2015) pc | repack от xatab	40289	31348	1.2852175577389306
freeman: guerrilla warfare (2018) repack от xatab	64978	54715	1.1875719638124829
легенды эйзенвальда / legends of eisenwald [update 10 + 1 dlc] (2015) pc | repack от xatab	59894	36978	1.6197198334144627
the walking dead: destinies v.1.2.0.6 [папка игры] (2023)	28769	28420	1.0122800844475721
descenders (2019)  repack от xatab	39026	39555	1.0135550658535335
neon white (2022)	18411	20777	1.1285101298136984
suzerain presidential edition v1.1.8 [gog] (2020)	12243	22701	1.8542024013722127
oddworld: soulstorm [portable] (2021)	71788	23270	3.0850021486892993
corsairs legacy - pirate action rpg & sea battles	17446	31011	1.7775421300011465
tormentum: dark sorrow [gog] (2015) pc | лицензия	26427	22992	1.1493997912317329
metal gear solid 2: sons of liberty - master collection version v.2.0.0 [папка игры] (2023)	56820	29985	1.8949474737368683
the alien cube [папка игры] (2021)	27318	27426	1.0039534372940917
homeworld 3 [v 1.22-cl363716 + dlcs] (2024) repack от decepticon	18283	23484	1.2844719137997047
parkitect v.1.10c [gog] (2018)	72361	32114	2.253254032509186
yakuza 0 v1.015a [gog] (2018)	11590	15674	1.3523727351164798
transport fever 2 [gog] (2019) pc | лицензия	63680	37682	1.6899315322965873
ultimate fishing simulator [v 2.20.9:500+dlc] (2017) pc | repack от xatab	71274	35038	2.034191449283635
south park: stick of truth  (2014) pc | repack от xatab	95630	65874	1.4517108419103135
kingdom of the dead v.1.21 [архив] (2021)	59852	22527	2.656900608159098
dishonored: death of the outsider [gog] (2017) pc | лицензия	34192	36888	1.07884885353299
scorn (2022)	34218	24164	1.4160734977652707
heaven dust (2020) pc | лицензия	16582	33325	2.0097093233626824
before we leave	81070	34953	2.3194003375962007
planet alpha (2018) pc | лицензия	60174	31501	1.9102250722199294
nioh 2 - the complete edition [portable] (2021)	56814	27639	2.0555736459350915
styx: master of shadows v1.02 [gog] (2014)	15943	32580	2.043530075895377
bastion (2011) pc | лицензия	15652	18426	1.1772297469971889
carmageddon: max damage [update 3 + 1 dlc] (2016) pc | repack от xatab	46889	44089	1.0635079044659665
europa (15/10/2024) [папка игры] (2024)	77859	32482	2.396989101656302
astalon: tears of the earth v1.0.14 (47877) [gog] (2021)	9115	25516	2.7993417443774
tom clancy's rainbow six v.001.04 (19237) [gog] (1998)	16972	13431	1.2636438090983546
panzer corps gold edition v.1.30 (20676) [gog] (2010)	33457	24254	1.3794425661746517
train sim world 2 [portable] (2020) pc | лицензия	49683	36617	1.3568287953682716
wasteland remastered [gog] (2019) pc | лицензия	75196	31450	2.3909697933227343
valkyrie elysium [папка игры] (2022)	22239	34395	1.5466073114798327
tetris effect  (2019) repack от xatab	38908	43986	1.1305130050375245
lego marvel super heroes	67024	49211	1.3619719168478592
resident evil 5 gold edition [v 1.2.0 build 11465250] (2015) pc | repack от decepticon	25186	36217	1.4379814182482331
alien: isolation : digital deluxe edition (2014) pc | repack от xatab	97990	67305	1.455909664958027
train simulator 2014 (2013) рс | repack от xatab	54144	49574	1.0921854197764957
overpass™ [codex] (2020) pc | лицензия	47238	39646	1.1914947283458608
