title,release_date,views,downloads,genre_2018_года,genre_quest,genre_торрент_игры,genre_3rd_person,genre_2019_года,genre_1st_person,genre_rpg,genre_2021_года,genre_action,genre_2022_года,genre_2023_года,genre_horror,genre_simulation,genre_2012_года,genre_stealth,genre_gog,genre_vr_игры,genre_2013_года,genre_3d,genre_лицензии,genre_simulator,genre_decepticon,genre_fighting,genre_2015_года,genre_strategy,genre_2014_года,genre_arcade,genre_shooter,genre_racing,genre_adventure,genre_оффлайн,genre_2024_года,genre_real-time,genre_2020_года,genre_2016_года,genre_2017_года,publication_type_codex,publication_type_skidrow,publication_type_cpy,publication_type_plaza,publication_type_prophet,publication_type_xatab,publication_type_gog,publication_type_origin,publication_type_uplay,publication_type_steam,publication_type_license,publication_type_repack,publication_type_rip,publication_type_folder,publication_type_archive,interface_language_arab,interface_language_chinese,interface_language_spanish,interface_language_portuguese,interface_language_german,interface_language_russian,interface_language_english,interface_language_french,interface_language_italian,interface_language_japanese,interface_language_korean,interface_language_polish,interface_language_ukrainian,interface_language_czech,interface_language_norwegian,interface_language_turkish,interface_language_hungarian,interface_language_thai,interface_language_danish,interface_language_indonesian,interface_language_romanian,interface_language_swedish,interface_language_dutch,interface_language_slovak,interface_language_catalan,voice_language_arab,voice_language_chinese,voice_language_spanish,voice_language_portuguese,voice_language_german,voice_language_russian,voice_language_english,voice_language_french,voice_language_italian,voice_language_japanese,voice_language_korean,voice_language_polish,voice_language_ukrainian,voice_language_czech,voice_language_turkish,voice_language_hungarian,voice_language_thai,voice_language_danish,voice_language_no_translation,tablet_codex,tablet_empress,tablet_goldberg,tablet_darksiders,tablet_3dm,tablet_rune,tablet_skidrow,tablet_reloaded,tablet_fairlight,tablet_tenoke,tablet_origin,tablet_gog,tablet_none,min_hdd_space_Mb
nine sols v.202410221556.553f8031.0 [папка игры] (2024),1729630800,614888,298,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9216
alan wake 2: deluxe edition [v 1.2.2] (2023) repack от decepticon,1729630800,1041045,1145,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110592
crusader kings iii v.1.13.2 [архив] (2020),1729630800,759082,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,12288
the sims 4 v.1.110.265.1030 [папка игры] (2014),1729630800,1530799,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66560
witchfire v.0.4.6 [папка игры] (early access),1729630800,852298,711,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32768
awaken - astral blade v.202410222004 [папка игры] (2024),1729544400,23282,721,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6144
kong: survivor instinct [папка игры] (2024),1729544400,26803,908,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8192
cult of the lamb v.1.4.5.593 [папка игры] (2022),1729544400,202878,433,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6144
barotrauma v.1.6.17.0 [папка игры] (2023),1729544400,683830,187,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1536
going medieval v.0.20.14 [архив] (early access),1729544400,1370199,186,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,700
